149	Humidade
150	Comum
151	Ótimo
152	Escuro
153	Brilhante
154	Cedo
155	Seco
166	Vazio
192	molhado
199	Vermelho
200	Amarelo
201	Azul
202	Marrom
203	Roxo
204	Cor de rosa
205	Preto
206	Branco
207	Verde
208	Laranja
209	Não mais
233	Por volta de ...
239	De propósito
288	A inundação
302	O chão
303	O exemplo
304	A coracão
305	A sorte
306	O morador
307	A cobertura
308	A internet
309	O computador
310	A televisão / TV
311	A estação de rádio
312	O rádio
313	O canal do youtube
314	O salário
315	O custo
316	O investidor
317	A startup
318	O software
319	A Inteligência Artificial
320	O caminho
321	A autoestrada
322	O seguro
323	O bastão de caminhada
324	O buraco (grande, por exemplo, no chÃo)
325	O furo (pequeno, por exemplo, num pneu)
326	A lesão
327	A parte de trás
328	O crânio
329	A tenda
330	O saco de dormir
331	A loja
332	A mesa
333	O jogo de tabuleiro
334	O fogão (para cozinhar)
335	O fogão a lenha
336	O aquecedor
337	A janela
338	A porta
359	os óculos
365	O vidro
388	O osso
404	a estrada
412	O assento
413	A cadeira
418	As luvas
434	A seca
457	A mochila
513	a roda
516	O tornozelo
517	A pé
518	O joelho
519	O quadril
520	As costas (parte do corpo)
521	O braço
522	A perna
523	o ombro
524	A mão
525	O dedo
526	O pescoço
527	Os olhos
528	As orelhas
529	O nariz
530	A unha
531	Os sapatos
532	A jaqueta
533	As meias
534	O estresse
535	O milho
536	Os cogumelos
537	O molho
538	O feijāo
539	As cenouras
540	As ervilhas
541	As legumas
542	O grāo
543	As beterrabas
544	A bolacha
545	As loiças
546	A maça
547	O ananás
548	A limão
549	A borboleta
550	A bétula
551	O pinheiro
552	A folha
553	O gafanhoto
554	O arbusto
555	O solo
556	As asas
557	A lagarta
558	O abelhão
559	O pássaro
560	O mamífero
561	O lagarto
562	O inseto
563	A árvore
564	A floresta
565	O lago
566	A montanha
567	A águia
568	A açor
569	A ave de rapina
570	La vista
571	A paisagem
572	A aldeia
573	O carvalho
574	A chuva
575	O arco-íris
576	o céu
577	O monte / a colina
578	O rio
579	O riacho
594	O cientista
595	O inventor
596	O programador
599	o nascer do sol
600	o por do sol
601	A lona
602	A broca (ferramenta)
603	O martelo
604	Os pregos (ou seja, espigões de metal)
605	Os parafusos
606	A pinça
607	O alicate
608	A cavilha
660	Morar
661	Ganhar
662	Custar
663	Investir
664	Inventar
665	Projetar
666	Programar
667	Magoar
668	Ouvir
669	Andar
670	Correr
671	Escalar
672	Nadar
673	Ascender
674	Subir
675	Emergir
676	Descer
677	Rir
678	Acampar
679	Aquecer
734	Desenvolver
774	Caminhar
776	o verme
777	O grilo
